vehID FromStopID ToStopID Uhrzeit(Ist) Uhrzeit(Soll) Delay Drive_Continue
1 167 114 251 246 5 yes
2 162 23 256 256 0 yes
3 168 5 270 270 0 yes
1 114 29 270 265 5 yes
4 161 18 273 263 10 yes
5 163 131 274 269 5 yes
6 160 22 276 271 5 yes
7 164 60 278 268 10 yes
8 166 101 281 271 10 yes
2 23 9 285 280 5 yes
6 22 0 285 275 10 yes
10 160 143 289 289 0 yes
11 165 20 290 290 0 yes
12 168 135 290 280 10 yes
11 20 21 290 280 10 yes
13 166 23 291 291 0 yes
14 163 9 291 291 0 yes
7 60 71 293 278 15 yes
15 168 136 295 295 0 yes
16 163 1 295 295 0 yes
3 5 16 295 295 0 yes
17 165 27 296 296 0 yes
18 168 80 298 293 5 yes
4 18 16 298 288 10 yes
19 162 71 300 295 5 yes
10 143 10 300 300 0 yes
13 23 7 300 300 0 yes
14 9 19 303 303 0 yes
20 162 32 304 304 0 yes
12 135 4 305 285 20 yes
15 136 137 305 300 5 yes
6 0 1 307 292 15 yes
16 1 31 307 307 0 yes
21 162 53 308 308 0 yes
15 137 112 312 307 5 yes
22 168 33 313 313 0 yes
23 160 114 313 313 0 yes
19 71 72 313 308 5 yes
24 160 0 315 315 0 yes
25 162 104 316 316 0 yes
11 21 111 317 307 10 yes
26 163 29 318 318 0 yes
27 168 4 318 308 10 yes
5 131 9 318 313 5 yes
15 112 112 318 313 5 yes
13 7 4 319 319 0 yes
1 29 97 320 315 5 yes
18 80 29 320 315 5 yes
28 168 107 323 318 5 yes
29 162 66 324 324 0 yes
17 27 28 324 314 10 yes
15 112 6 324 319 5 yes
21 53 4 325 325 0 yes
22 33 17 325 325 0 yes
30 163 8 326 316 10 yes
23 114 29 326 326 0 yes
31 165 20 327 327 0 yes
8 101 16 327 317 10 yes
25 104 69 327 327 0 yes
11 111 111 327 307 20 yes
31 20 21 327 322 5 yes
20 32 82 328 328 0 yes
3 16 3 329 329 0 yes
32 166 134 330 330 0 yes
33 162 32 330 325 5 yes
24 0 109 330 330 0 yes
26 29 46 330 320 10 yes
29 66 1 330 330 0 yes
34 169 126 332 332 0 yes
35 161 74 333 328 5 yes
36 168 6 333 333 0 yes
37 161 18 333 328 5 yes
38 168 145 334 334 0 yes
39 162 32 334 329 5 yes
2 9 1 335 330 5 yes
18 29 29 335 330 5 yes
3 3 3 335 335 0 yes
40 160 22 336 331 5 yes
41 166 23 336 336 0 yes
1 97 97 336 321 15 yes
42 167 116 337 327 10 yes
43 160 96 337 337 0 yes
13 4 1 338 333 5 yes
44 162 28 339 339 0 yes
16 31 10 340 340 0 yes
27 4 12 340 320 20 yes
15 6 6 340 325 15 yes
35 74 2 340 325 15 yes
45 25 4 341 341 0 yes
2 1 1 341 331 10 yes
46 167 41 342 342 0 yes
47 160 46 343 333 10 yes
48 168 147 343 343 0 yes
49 165 51 343 333 10 yes
50 163 33 343 343 0 yes
32 134 47 343 343 0 yes
31 21 111 344 339 5 yes
3 3 4 344 344 0 yes
51 163 143 345 345 0 yes
10 10 10 345 345 0 yes
34 126 8 345 340 5 yes
36 6 80 345 345 0 yes
18 29 4 345 330 15 yes
40 22 0 345 340 5 yes
41 23 9 345 335 10 yes
45 4 6 345 340 5 yes
38 145 4 347 337 10 yes
44 28 27 347 347 0 yes
52 163 6 348 348 0 yes
53 163 29 348 343 5 yes
54 163 4 348 348 0 yes
55 165 56 348 338 10 yes
4 16 120 348 328 20 yes
14 19 134 348 348 0 yes
11 111 20 348 328 20 yes
13 1 1 348 338 10 yes
56 168 1 349 344 5 yes
31 111 111 349 339 10 yes
45 6 6 350 340 10 yes
57 163 0 352 342 10 yes
58 166 60 352 352 0 yes
1 97 39 352 337 15 yes
12 4 4 353 333 20 yes
28 107 61 353 338 15 yes
37 18 16 353 348 5 yes
48 147 30 353 353 0 yes
59 160 139 355 345 10 yes
21 4 6 355 350 5 yes
50 33 18 355 355 0 yes
36 80 80 355 350 5 yes
6 1 9 356 341 15 yes
19 72 85 357 347 10 yes
42 116 9 357 347 10 yes
47 46 33 357 347 10 yes
3 4 4 357 357 0 yes
33 32 43 359 349 10 yes
60 168 120 360 355 5 yes
43 96 1 360 350 10 yes
52 6 55 360 360 0 yes
54 4 15 360 360 0 yes
13 1 47 360 350 10 yes
21 6 53 360 345 15 yes
3 4 5 360 355 5 yes
46 41 29 361 361 0 yes
10 10 0 361 361 0 yes
61 162 71 362 362 0 yes
62 168 103 362 362 0 yes
40 0 1 362 357 5 yes
36 80 29 362 352 10 yes
63 168 4 363 363 0 yes
7 71 71 363 348 15 yes
39 32 82 363 348 15 yes
32 47 47 363 358 5 yes
64 168 145 364 364 0 yes
2 1 154 364 354 10 yes
34 8 8 364 359 5 yes
25 69 69 365 365 0 yes
15 6 24 365 340 25 yes
49 51 52 365 355 10 yes
53 29 46 365 360 5 yes
45 6 75 365 345 20 yes
5 9 4 366 361 5 yes
56 1 31 366 356 10 yes
14 134 134 367 367 0 yes
19 85 85 367 347 20 yes
24 109 109 368 368 0 yes
30 8 9 369 349 20 yes
20 82 49 369 359 10 yes
14 134 47 369 369 0 yes
65 168 14 370 365 5 yes
66 168 97 370 370 0 yes
67 161 18 370 370 0 yes
23 29 33 370 370 0 yes
27 12 67 370 345 25 yes
48 30 35 370 365 5 yes
61 71 60 370 370 0 yes
32 47 48 370 360 10 yes
34 8 133 370 365 5 yes
68 168 75 371 361 10 yes
69 164 60 372 372 0 yes
6 9 9 372 357 15 yes
60 120 6 372 367 5 yes
70 168 6 373 368 5 yes
4 120 120 373 343 30 yes
31 111 20 373 363 10 yes
23 33 33 374 364 10 yes
51 143 10 375 375 0 yes
63 4 79 375 375 0 yes
5 4 77 375 370 5 yes
71 160 94 376 371 5 yes
28 61 78 376 356 20 yes
8 16 9 377 362 15 yes
64 145 4 377 377 0 yes
25 69 70 377 372 5 yes
69 60 78 377 377 0 yes
72 168 6 378 378 0 yes
73 163 33 378 378 0 yes
17 28 28 378 363 15 yes
74 168 144 379 379 0 yes
55 56 51 379 359 20 yes
75 166 47 380 380 0 yes
76 161 101 380 370 10 yes
38 4 6 380 365 15 yes
12 4 15 380 355 25 yes
7 71 60 380 355 25 yes
66 97 39 380 375 5 yes
75 47 9 380 380 0 yes
78 160 123 381 376 5 yes
22 17 17 381 381 0 yes
62 103 6 381 376 5 yes
20 49 49 381 366 15 yes
29 1 124 383 373 10 yes
