vehID Standort Dep/Arr Uhrzeit(Ist) Status(Depot/Umlauf)
1 167 0 251 1
2 162 0 256 1
1 114 1 265 1
1 114 0 265 1
3 168 0 270 1
4 161 0 273 1
5 163 0 274 1
6 160 0 276 1
7 164 0 278 1
6 22 1 280 1
6 22 0 280 1
8 166 0 281 1
7 60 1 283 1
7 60 0 283 1
2 23 1 285 1
2 23 0 285 1
4 18 1 288 1
4 18 0 288 1
10 160 0 289 1
11 165 0 290 1
12 168 0 290 1
11 20 1 290 1
11 20 0 290 1
13 166 0 291 1
14 163 0 291 1
6 0 1 292 1
6 0 0 292 1
15 168 0 295 1
16 163 0 295 1
3 5 1 295 1
3 5 0 295 1
12 135 1 295 1
12 135 0 295 1
17 165 0 296 1
18 168 0 298 1
19 162 0 300 1
10 143 1 300 1
10 143 0 300 1
13 23 1 300 1
13 23 0 300 1
14 9 1 303 1
14 9 0 303 1
20 162 0 304 1
15 136 1 305 1
15 136 0 305 1
11 21 1 307 1
11 21 0 307 1
16 1 1 307 1
16 1 0 307 1
15 137 1 307 1
15 137 0 307 1
11 111 1 307 1
11 111 0 307 1
21 162 0 308 1
19 71 1 308 1
19 71 0 308 1
15 112 1 308 1
15 112 0 308 1
11 111 1 308 1
11 111 0 308 1
15 112 1 309 1
15 112 0 309 1
1 29 1 310 1
1 29 0 310 1
22 168 0 313 1
23 160 0 313 1
5 131 1 313 1
5 131 0 313 1
24 160 0 315 1
18 80 1 315 1
18 80 0 315 1
25 162 0 316 1
8 101 1 317 1
8 101 0 317 1
26 163 0 318 1
27 168 0 318 1
13 7 1 319 1
13 7 0 319 1
15 6 1 320 1
15 6 0 320 1
1 97 1 321 1
1 97 0 321 1
1 97 1 322 1
1 97 0 322 1
28 168 0 323 1
12 4 1 323 1
12 4 0 323 1
29 162 0 324 1
17 27 1 324 1
17 27 0 324 1
21 53 1 325 1
21 53 0 325 1
11 20 1 325 1
11 20 0 325 1
22 33 1 325 1
22 33 0 325 1
18 29 1 325 1
18 29 0 325 1
30 163 0 326 1
6 1 1 326 1
6 1 0 326 1
23 114 1 326 1
23 114 0 326 1
31 165 0 327 1
25 104 1 327 1
25 104 0 327 1
6 9 1 327 1
6 9 0 327 1
31 20 1 327 1
31 20 0 327 1
4 16 1 328 1
4 16 0 328 1
20 32 1 328 1
20 32 0 328 1
3 16 1 329 1
3 16 0 329 1
32 166 0 330 1
33 162 0 330 1
2 9 1 330 1
2 9 0 330 1
24 0 1 330 1
24 0 0 330 1
26 29 1 330 1
26 29 0 330 1
27 4 1 330 1
27 4 0 330 1
15 6 1 330 1
15 6 0 330 1
12 4 1 330 1
12 4 0 330 1
29 66 1 330 1
29 66 0 330 1
18 29 1 330 1
18 29 0 330 1
2 1 1 331 1
2 1 0 331 1
34 169 0 332 1
35 161 0 333 1
36 168 0 333 1
37 161 0 333 1
6 9 1 333 1
6 9 0 333 1
4 120 1 333 1
4 120 0 333 1
38 168 0 334 1
39 162 0 334 1
3 3 1 335 1
3 3 0 335 1
35 74 1 335 1
35 74 0 335 1
40 160 0 336 1
41 166 0 336 1
42 167 0 337 1
43 160 0 337 1
4 120 1 337 1
4 120 0 337 1
7 71 1 338 1
7 71 0 338 1
13 4 1 338 1
13 4 0 338 1
44 162 0 339 1
31 21 1 339 1
31 21 0 339 1
31 111 1 339 1
31 111 0 339 1
16 31 1 340 1
16 31 0 340 1
1 39 1 340 1
1 39 0 340 1
27 12 1 340 1
27 12 0 340 1
40 22 1 340 1
40 22 0 340 1
7 71 1 340 1
7 71 0 340 1
27 67 1 340 1
27 67 0 340 1
45 25 0 341 1
46 167 0 342 1
47 160 0 343 1
48 168 0 343 1
49 165 0 343 1
50 163 0 343 1
32 134 1 343 1
32 134 0 343 1
13 1 1 343 1
13 1 0 343 1
2 1 1 344 1
2 1 0 344 1
3 3 1 344 1
3 3 0 344 1
51 163 0 345 1
10 10 1 345 1
10 10 0 345 1
34 126 1 345 1
34 126 0 345 1
36 6 1 345 1
36 6 0 345 1
41 23 1 345 1
41 23 0 345 1
45 4 1 345 1
45 4 0 345 1
13 1 1 345 1
13 1 0 345 1
45 6 1 345 1
45 6 0 345 1
19 72 1 347 1
19 72 0 347 1
38 145 1 347 1
38 145 0 347 1
42 116 1 347 1
42 116 0 347 1
44 28 1 347 1
44 28 0 347 1
47 46 1 347 1
47 46 0 347 1
19 85 1 347 1
19 85 0 347 1
52 163 0 348 1
53 163 0 348 1
54 163 0 348 1
55 165 0 348 1
14 19 1 348 1
14 19 0 348 1
28 107 1 348 1
28 107 0 348 1
37 18 1 348 1
37 18 0 348 1
56 168 0 349 1
4 6 1 350 1
4 6 0 350 1
45 6 1 350 1
45 6 0 350 1
57 163 0 352 1
58 166 0 352 1
15 24 1 352 1
15 24 0 352 1
40 0 1 352 1
40 0 0 352 1
11 27 1 353 1
11 27 0 353 1
18 4 1 353 1
18 4 0 353 1
31 111 1 353 1
31 111 0 353 1
48 147 1 353 1
48 147 0 353 1
33 32 1 354 1
33 32 0 354 1
11 27 1 354 1
11 27 0 354 1
59 160 0 355 1
21 4 1 355 1
21 4 0 355 1
