vehID;Standort;Dep/Arr;Uhrzeit(Soll);umlaufstatus(Depot/Umlauf);Uhrzeit(Ist);Spalte1;Spalte2
1;167;0;251;1;251;;
1;114;1;265;1;265;;
1;114;0;265;1;265;;
1;29;1;310;1;315;;Random + 5 min
1;29;0;310;1;315;;
1;97;1;321;1;331;Pausenzeit ausgelassen;Random + 10 min
1;97;0;321;1;331;Pausenzeit ausgelassen;
1;97;1;322;1;331;Pausenzeit ausgelassen;
1;97;0;322;1;331;Pausenzeit ausgelassen;
1;39;1;340;1;349;;
1;39;0;340;1;349;;
1;39;1;355;1;349;Pausenzeit (teilweise) ausgelassen (statt 15 min Pause nur 6 min Pause);
1;39;0;355;1;355;;
1;40;1;378;1;378;;
1;40;0;378;1;378;;
1;102;1;378;1;388;;Random + 10 min
1;102;0;378;1;388;;
1;102;1;380;1;388;Pausenzeit ausgelassen;
1;102;0;380;1;388;;
1;39;1;405;1;418;;Random + 5 min
1;39;0;405;1;418;;
1;40;1;430;1;453;;Random + 10 min
1;40;0;430;1;453;;
1;102;1;430;1;463;;
1;102;0;430;1;463;;
1;102;1;453;1;463;Pausenzeit ausgelassen;
1;102;0;453;1;463;;
1;39;1;478;1;488;;
1;39;0;478;1;488;;
1;39;1;490;1;488;;
1;39;0;490;1;490;;
1;142;1;506;1;511;;
1;142;0;506;1;511;;
1;97;1;507;1;517;;
1;97;0;507;1;517;;
1;97;1;520;1;517;;
1;97;0;520;1;520;;
1;39;1;538;1;543;;
1;39;0;538;1;543;;
1;167;1;539;0;549;;
1;167;0;683;1;683;;
1;39;1;685;1;695;;
1;39;0;685;1;695;;
1;142;1;701;1;716;;
1;142;0;701;1;716;;
1;167;1;718;0;738;;
1;167;0;778;1;778;;
1;39;1;780;1;785;;
1;39;0;780;1;785;;
1;40;1;805;1;820;;
1;40;0;805;1;820;;
1;102;1;805;1;830;;
1;102;0;805;1;830;;
1;102;1;813;1;830;;
1;102;0;813;1;830;;
1;39;1;838;1;855;;
1;39;0;838;1;855;;
1;39;1;840;1;855;;
1;39;0;840;1;855;;
1;40;1;865;1;885;;
1;40;0;865;1;885;;
1;102;1;865;1;885;;
1;102;0;865;1;885;;
1;102;1;873;1;885;;
1;102;0;873;1;885;;
1;39;1;898;1;910;;
1;39;0;898;1;910;;
1;167;1;899;0;916;;
1;167;0;1043;1;1043;;
1;39;1;1045;1;1050;;
1;39;0;1045;1;1050;;
1;116;1;1061;1;1066;;
1;116;0;1061;1;1066;;
