vehID Teilumlaufnummer Standort Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
1 1 167 251 251 0 0
1 1 114 265 275 10 10
1 1 114 265 275 0 10
1 1 29 310 330 10 20
1 1 29 310 330 0 20
1 1 97 321 346 5 25
1 1 97 321 346 0 25
1 1 97 322 346 0 24
1 1 97 322 346 0 24
1 1 39 340 374 10 34
1 1 39 340 374 0 34
1 1 39 355 374 0 19
1 1 39 355 374 0 19
1 1 40 378 397 0 19
1 1 40 378 397 0 19
1 1 102 378 402 5 24
1 1 102 378 402 0 24
1 1 102 380 402 0 22
1 1 102 380 402 0 22
1 1 39 405 437 10 32
1 1 39 405 437 0 32
1 1 40 430 467 5 37
1 1 40 430 467 0 37
1 1 102 430 467 0 37
1 1 102 430 467 0 37
1 1 102 453 467 0 14
1 1 102 453 467 0 14
1 1 39 478 497 5 19
1 1 39 478 497 0 19
1 1 39 490 497 0 7
1 1 39 490 497 0 7
1 1 142 506 518 5 12
1 1 142 506 518 0 12
1 1 97 507 524 5 17
1 1 97 507 524 0 17
1 1 97 520 524 0 4
1 1 97 520 524 0 4
1 1 39 538 552 10 14
1 1 39 538 552 0 14
1 2 167 683 683 0 0
1 2 39 685 685 0 0
1 2 39 685 685 0 0
1 2 142 701 701 0 0
1 2 142 701 701 0 0
1 3 167 778 778 0 0
1 3 39 780 790 10 10
1 3 39 780 790 0 10
1 3 40 805 815 0 10
1 3 40 805 815 0 10
1 3 102 805 820 5 15
1 3 102 805 820 0 15
1 3 102 813 820 0 7
1 3 102 813 820 0 7
1 3 39 838 845 0 7
1 3 39 838 845 0 7
1 3 39 840 845 0 5
1 3 39 840 845 0 5
1 3 40 865 880 10 15
1 3 40 865 880 0 15
1 3 102 865 885 5 20
1 3 102 865 885 0 20
1 3 102 873 885 0 12
1 3 102 873 885 0 12
1 3 39 898 915 5 17
1 3 39 898 915 0 17
1 4 167 1043 1043 0 0
1 4 39 1045 1045 0 0
1 4 39 1045 1045 0 0
1 4 116 1061 1071 10 10
1 4 116 1061 1071 0 10
1 4 119 1061 1081 10 20
1 4 119 1061 1081 0 20
1 4 39 1078 1098 0 20
1 4 39 1078 1098 0 20
1 5 167 1148 1148 0 0
1 5 39 1150 1155 5 5
1 5 39 1150 1155 0 5
1 5 116 1165 1170 0 5
1 5 116 1165 1170 0 5
1 5 119 1165 1175 5 10
1 5 119 1165 1175 0 10
1 5 119 1166 1175 0 9
1 5 119 1166 1175 0 9
1 5 39 1183 1192 0 9
1 5 39 1183 1192 0 9
