vehID Teilumlaufnummer Standort Dep/Arr Uhrzeit(Soll) Uhrzeit(Ist) Fahrtverspätung Gesamtverspätung
1 1 167 0 251 251 / 0
2 1 162 0 256 256 / 0
3 1 168 0 270 270 / 0
1 1 114 1 265 270 5 5
1 1 114 0 265 270 / 5
4 1 161 0 273 273 / 0
5 1 163 0 274 274 / 0
6 1 160 0 276 276 / 0
7 1 164 0 278 278 / 0
8 1 166 0 281 281 / 0
7 1 60 1 283 288 5 5
7 1 60 0 283 288 / 5
10 1 160 0 289 289 / 0
11 1 165 0 290 290 / 0
12 1 168 0 290 290 / 0
2 1 23 1 285 290 5 5
2 1 23 0 285 290 / 5
6 1 22 1 280 290 10 10
6 1 22 0 280 290 / 10
13 1 166 0 291 291 / 0
14 1 163 0 291 291 / 0
4 1 18 1 288 293 5 5
4 1 18 0 288 293 / 5
15 1 168 0 295 295 / 0
16 1 163 0 295 295 / 0
11 1 20 1 290 295 5 5
11 1 20 0 290 295 / 5
17 1 165 0 296 296 / 0
18 1 168 0 298 298 / 0
19 1 162 0 300 300 / 0
3 1 5 1 295 300 5 5
3 1 5 0 295 300 / 5
20 1 162 0 304 304 / 0
12 1 135 1 295 305 10 10
12 1 135 0 295 305 / 10
13 1 23 1 300 305 5 5
13 1 23 0 300 305 / 5
6 1 0 1 292 307 5 15
6 1 0 0 292 307 / 15
21 1 162 0 308 308 / 0
14 1 9 1 303 308 5 5
14 1 9 0 303 308 / 5
10 1 143 1 300 310 10 10
10 1 143 0 300 310 / 10
16 1 1 1 307 312 5 5
16 1 1 0 307 312 / 5
22 1 168 0 313 313 / 0
23 1 160 0 313 313 / 0
19 1 71 1 308 313 5 5
19 1 71 0 308 313 / 5
24 1 160 0 315 315 / 0
15 1 136 1 305 315 10 10
15 1 136 0 305 315 / 10
25 1 162 0 316 316 / 0
11 1 21 1 307 317 5 10
11 1 21 0 307 317 / 10
26 1 163 0 318 318 / 0
27 1 168 0 318 318 / 0
1 1 29 1 310 320 5 10
1 1 29 0 310 320 / 10
8 1 101 1 317 322 5 5
