$FINAL:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;DutyType;DepotID;VehTypeID;LineID
1;1;-1;167;114;0:04:11:00;0:04:25:00;4;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;0;114;29;0:04:25:00;0:05:10:00;1;DT5: Auftragnehmer Umlauf lang;167;1;208
1;1;-1;29;97;0:05:10:00;0:05:21:00;2;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;-1;97;97;0:05:21:00;0:05:22:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;22;97;39;0:05:22:00;0:05:40:00;1;DT5: Auftragnehmer Umlauf lang;167;1;228
1;1;-1;39;39;0:05:40:00;0:05:55:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;63;39;40;0:05:55:00;0:06:18:00;1;DT5: Auftragnehmer Umlauf lang;167;1;212
1;1;-1;40;102;0:06:18:00;0:06:18:00;2;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;-1;102;102;0:06:18:00;0:06:20:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;110;102;39;0:06:20:00;0:06:45:00;1;DT5: Auftragnehmer Umlauf lang;167;1;212
1;1;168;39;40;0:06:45:00;0:07:10:00;1;DT5: Auftragnehmer Umlauf lang;167;1;212
1;1;-1;40;102;0:07:10:00;0:07:10:00;2;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;-1;102;102;0:07:10:00;0:07:33:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;256;102;39;0:07:33:00;0:07:58:00;1;DT5: Auftragnehmer Umlauf lang;167;1;212
1;1;-1;39;39;0:07:58:00;0:08:10:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;313;39;142;0:08:10:00;0:08:26:00;1;DT5: Auftragnehmer Umlauf lang;167;1;228
1;1;-1;142;97;0:08:26:00;0:08:27:00;2;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;-1;97;97;0:08:27:00;0:08:40:00;9;DT5: Auftragnehmer Umlauf lang;167;1;0
1;1;365;97;39;0:08:40:00;0:08:58:00;1;DT5: Auftragnehmer Umlauf lang;167;1;228
1;1;-1;39;167;0:08:58:00;0:08:59:00;2;DT5: Auftragnehmer Umlauf lang;167;1;0
2;2;-1;162;23;0:04:16:00;0:04:45:00;4;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;3;23;9;0:04:45:00;0:05:30:00;1;DT5: Auftragnehmer Umlauf lang;162;1;296
2;2;-1;9;1;0:05:30:00;0:05:31:00;2;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;-1;1;1;0:05:31:00;0:05:44:00;9;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;46;1;154;0:05:44:00;0:06:36:00;1;DT5: Auftragnehmer Umlauf lang;162;1;238
2;2;-1;154;71;0:06:36:00;0:06:40:00;2;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;152;71;60;0:06:40:00;0:07:36:00;1;DT5: Auftragnehmer Umlauf lang;162;1;220
2;2;-1;60;60;0:07:36:00;0:08:29:00;9;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;344;60;78;0:08:29:00;0:09:29:00;1;DT5: Auftragnehmer Umlauf lang;162;1;220
2;2;-1;78;78;0:09:29:00;0:09:30:00;9;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;444;78;107;0:09:30:00;0:09:38:00;1;DT5: Auftragnehmer Umlauf lang;162;1;219
2;2;-1;107;78;0:09:38:00;0:09:46:00;2;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;-1;78;78;0:09:46:00;0:10:12:00;9;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;491;78;60;0:10:12:00;0:11:24:00;1;DT5: Auftragnehmer Umlauf lang;162;1;220
2;2;-1;60;60;0:11:24:00;0:11:29:00;9;DT5: Auftragnehmer Umlauf lang;162;1;0
2;2;593;60;61;0:11:29:00;0:12:42:00;1;DT5: Auftragnehmer Umlauf lang;162;1;220
